method,chip_id,psnr,ssim,sam,ergas,ndvi_delta
bicubic,0,31.969164787866884,0.89546347,0.86969286,2.5877917,0.017003322
lanczos,0,31.779915986805783,0.8901655,0.8956512,2.64483,0.017684937
esrgan,0,24.181811046617618,0.5454412,2.0259092,6.2702203,0.03081495
bicubic,1,32.86346437338228,0.8884964,0.734985,2.2255387,0.013092926
lanczos,1,32.691621136191756,0.8846037,0.76214814,2.2690947,0.013916046
esrgan,1,25.472953981174857,0.564648,1.5605606,5.1474853,0.019973641
bicubic,2,32.49315296738646,0.8885447,0.7311797,2.1539562,0.011881474
lanczos,2,32.30117425989936,0.882002,0.7569133,2.2025664,0.012609424
esrgan,2,23.333303655516513,0.49962872,2.213831,6.038643,0.026114788
bicubic,3,33.53732975899374,0.9110719,0.8214933,2.5575223,0.015388179
lanczos,3,33.25765350278397,0.9040653,0.8623349,2.641368,0.016541474
esrgan,3,25.308342723667398,0.58969647,1.9779288,6.4784093,0.0234054
bicubic,4,31.116114115160247,0.88820887,0.887541,2.5670896,0.017982235
lanczos,4,30.911914906468255,0.88221586,0.9182288,2.628315,0.018893309
esrgan,4,22.534161543515662,0.46659297,2.263556,6.8062925,0.03248268
bicubic,5,30.69449774505495,0.8865015,0.9863702,2.8178704,0.019278063
lanczos,5,30.395556070653043,0.8764461,1.0388092,2.9174297,0.020909734
esrgan,5,22.654901648394343,0.4558626,2.5222778,7.0687,0.03827855
bicubic,6,32.155857969274535,0.90683985,0.82837695,2.5375676,0.015683189
lanczos,6,31.921477539200485,0.90265006,0.8590904,2.607025,0.016687818
esrgan,6,23.222715063926643,0.4882943,2.2486773,6.994594,0.03344125
bicubic,7,31.285983688534724,0.8613939,1.0690842,3.1015918,0.020897679
lanczos,7,31.19758816024644,0.85815364,1.086477,3.139609,0.021301508
esrgan,7,25.45423589253168,0.5660017,2.3075836,6.0642047,0.032421485
bicubic,8,34.49935223212171,0.91209614,0.74530643,2.082115,0.013454376
lanczos,8,34.24172333464847,0.910071,0.77259094,2.14538,0.014267933
esrgan,8,24.660960537555013,0.56262994,2.06524,6.295748,0.028129704
bicubic,9,31.317131213255763,0.882459,1.1264306,3.3764112,0.021355387
lanczos,9,31.1257415958488,0.8778423,1.1675552,3.451696,0.022739485
esrgan,9,23.881451917456012,0.5144535,2.7642899,7.8765078,0.03840833
bicubic,10,31.951554026033495,0.87341803,1.0879351,2.9965627,0.021597147
lanczos,10,31.701468726513706,0.86584675,1.1215256,3.084668,0.022664154
esrgan,10,24.62764386100003,0.5264618,2.551968,6.864035,0.036853004
bicubic,11,31.038092202803394,0.8890322,0.76571786,2.0673938,0.014641272
lanczos,11,30.920356893886964,0.882185,0.79508495,2.0981529,0.015637394
esrgan,11,20.758878297859095,0.4012982,2.4418728,6.5857744,0.031825833
bicubic,12,31.595476258884133,0.8561174,1.2998137,3.62897,0.026352908
lanczos,12,31.209663271853216,0.8436569,1.3716652,3.7921271,0.02851073
esrgan,12,24.606938475145547,0.55668926,3.3652208,7.959806,0.042867992
bicubic,13,30.421164996543645,0.8333272,1.2452079,3.1909676,0.024799308
lanczos,13,30.2402818626946,0.82810485,1.2696111,3.2569778,0.025658162
esrgan,13,23.956453592551373,0.46930796,2.556664,6.648224,0.041487403
bicubic,14,32.736417578259996,0.9066032,0.88371193,2.4795086,0.016840752
