method,chip_id,psnr,ssim,sam,ergas,ndvi_delta
bicubic,0,30.027590171988447,0.8284596,1.2853098,3.3491027,0.026337981
lanczos,0,29.816078859109133,0.8212595,1.3267584,3.4341838,0.027511416
esrgan,0,23.49832514661507,0.45648232,2.902276,6.964783,0.04008486
bicubic,1,32.369523076672245,0.90043676,0.842581,2.324358,0.016144853
lanczos,1,32.24103175137196,0.8964248,0.8592446,2.360181,0.016950548
esrgan,1,23.20918483304046,0.4938349,2.5068312,6.5706925,0.03323019
bicubic,2,32.780706419593585,0.9053124,0.90067863,2.6425076,0.017332891
lanczos,2,32.83674484529209,0.9030139,0.90540576,2.6310337,0.017825093
esrgan,2,24.0764134257872,0.60655755,2.5270524,6.989952,0.031272087
bicubic,3,32.44197032278925,0.8883074,0.7793192,2.2628787,0.013781247
lanczos,3,32.3769302948802,0.8843365,0.7957786,2.2883186,0.014242479
esrgan,3,21.794067530082877,0.43668565,2.802033,7.340924,0.030492747
bicubic,4,30.166754399715636,0.84586304,1.2977457,3.570776,0.027304621
lanczos,4,30.008167718651116,0.83879006,1.3452156,3.6409168,0.028606452
esrgan,4,23.39142312179738,0.4832264,2.9085557,7.681386,0.051353864
bicubic,5,31.518201577714528,0.88245237,0.9553105,2.5693858,0.019252427
lanczos,5,31.421918402820964,0.8805289,0.98113173,2.5999947,0.020287214
esrgan,5,23.130445760691458,0.4851369,2.6801229,6.668843,0.042450853
bicubic,6,31.753562412396125,0.8767468,0.6220084,1.7911702,0.009610097
lanczos,6,31.58497868191493,0.869174,0.6340169,1.8281218,0.009948265
esrgan,6,21.82992660036316,0.42669278,1.6510917,5.433871,0.016105415
bicubic,7,32.335158896182165,0.87620735,1.2057332,3.415383,0.023380022
lanczos,7,32.12799225123823,0.87334025,1.2357144,3.493536,0.024449378
esrgan,7,26.24401686699098,0.5959889,2.519992,6.8837748,0.03622494
bicubic,8,30.014201711470548,0.88006955,1.2222044,3.5729785,0.02439975
lanczos,8,29.754229799558352,0.8729439,1.241209,3.6783667,0.025073437
esrgan,8,21.87734423140894,0.48127264,3.5020144,9.0034895,0.044742335
bicubic,9,24.135482229297125,0.866294,2.1134832,10.69721,0.022161605
lanczos,9,24.0970749806643,0.85730326,2.1670737,10.747375,0.023967875
esrgan,9,23.20207053398313,0.6376914,3.088385,11.917836,0.033534683
bicubic,10,32.50660362094646,0.9006828,0.96590286,2.6313448,0.019068496
lanczos,10,32.59773504594071,0.90040123,0.9810962,2.6064582,0.019776952
esrgan,10,22.84501076658273,0.50766104,3.2145338,7.9286685,0.033618018
bicubic,11,32.40127717519172,0.88551867,0.7244365,2.2290797,0.011989034
lanczos,11,32.20526682844251,0.87559766,0.74499905,2.281777,0.012579991
esrgan,11,25.06215806377432,0.5408696,1.7157837,5.1344714,0.020393817
bicubic,12,31.714981709109907,0.89477813,1.0598525,3.107717,0.021152798
lanczos,12,31.50121644067058,0.88893664,1.095409,3.1861312,0.022365775
esrgan,12,24.321735675269224,0.5786078,2.8389482,7.199379,0.037546135
bicubic,13,33.63641735748271,0.8951081,0.74476826,2.103724,0.013816207
lanczos,13,33.531959511494826,0.8925619,0.76872474,2.1325748,0.014554806
esrgan,13,25.68077095403003,0.5579853,1.794206,5.0917993,0.024278648
bicubic,14,30.625418110814135,0.8651676,0.96915895,2.7078261,0.019248364
lanczos,14,30.55364706040407,0.8628233,0.9847222,2.7363925,0.019867275
esrgan,14,22.64857133608377,0.46348777,2.469331,6.555719,0.035583377
bicubic,15,31.180935290280438,0.8738842,1.0299573,2.9000099,0.019491993
lanczos,15,31.05761843861658,0.86905766,1.0449207,2.9465406,0.02022162
esrgan,15,23.795037060221258,0.5011617,2.7777085,6.5944686,0.036808703
bicubic,16,30.425713312570274,0.8867874,0.9610507,2.7543955,0.019220203
lanczos,16,30.393805922638283,0.8832609,0.9834044,2.766778,0.019916484
esrgan,16,22.44183656097059,0.48089138,2.6307237,6.8047924,0.037708685
bicubic,17,31.84434896708848,0.9092984,0.7148908,2.097533,0.0126009565
lanczos,17,31.668104463153057,0.90614414,0.7406464,2.1424756,0.01344751
esrgan,17,21.398991735545422,0.48913947,2.3530679,6.8168163,0.02555979
bicubic,18,32.68975336774354,0.8990145,0.84979886,2.3626916,0.014165989
lanczos,18,32.72568458148469,0.8975215,0.85722464,2.3580492,0.014514321
esrgan,18,23.6089576309451,0.5353654,2.723063,6.6326966,0.029201834
bicubic,19,32.28520002447481,0.8986784,0.82574713,2.3966818,0.01591028
lanczos,19,32.159891850857,0.8931042,0.8543963,2.4335701,0.016780362
esrgan,19,23.754061165864332,0.5153697,2.1025612,6.272699,0.030508446
bicubic,20,32.01850362689647,0.83741295,1.324534,3.6025615,0.025994085
lanczos,20,31.813896179507854,0.82977164,1.3529674,3.6941483,0.026791804
esrgan,20,26.049181018398503,0.57813203,2.817044,7.124295,0.039790902
bicubic,21,34.25412373348782,0.9114416,0.64768195,1.8655183,0.010794271
lanczos,21,34.17187921632484,0.9074084,0.6636087,1.8843882,0.0112614315
esrgan,21,24.451350850877045,0.51566404,1.5566233,5.5372486,0.019180587
bicubic,22,31.093891766349376,0.8919632,0.9623339,2.8798013,0.017391682
lanczos,22,30.865816845362467,0.88463354,0.9927704,2.955967,0.018434264
esrgan,22,21.430574322137144,0.46735135,3.444673,8.559093,0.041335773
bicubic,23,29.438043646526676,0.8150921,1.651483,4.224467,0.035162836
lanczos,23,29.111162172348646,0.8037158,1.7243776,4.3832254,0.037329093
esrgan,23,24.106870852342524,0.47475943,3.1294231,7.743571,0.052656393
bicubic,24,32.27285049258957,0.90509367,0.6964551,1.9783514,0.011594012
lanczos,24,32.22081214157536,0.9041854,0.70392823,1.9931701,0.01187983
esrgan,24,21.02162994923695,0.41408053,2.449491,6.9897585,0.034324333
bicubic,25,31.532604202669408,0.8983715,0.9172269,2.7584462,0.01578132
lanczos,25,31.229257724740997,0.89194024,0.9577799,2.8574908,0.017364066
esrgan,25,19.918645056618594,0.43980637,2.9460466,10.176342,0.03422535
bicubic,26,31.455098802584462,0.88758117,0.9362908,2.7230551,0.018468797
lanczos,26,31.33369069287607,0.87983197,0.9628991,2.7626967,0.019426145
esrgan,26,23.556361525800547,0.52010244,2.7241495,6.5972195,0.03408248
bicubic,27,33.969491996936846,0.9124864,0.65870917,2.2532048,0.011466878
lanczos,27,33.84046278737537,0.908912,0.67648476,2.2886548,0.011818831
esrgan,27,26.06421179360328,0.6183448,1.4463258,5.4055276,0.018470375
bicubic,28,29.799195167608836,0.8534443,1.23058,3.7166011,0.022102518
lanczos,28,29.68690996668617,0.8516057,1.2637849,3.7738316,0.023079388
esrgan,28,22.482816167770068,0.45018607,3.2532651,8.399406,0.042490743
bicubic,29,31.459590627507946,0.8895823,0.7991606,2.4270346,0.014789179
lanczos,29,31.25186663053978,0.8821613,0.82640207,2.486321,0.01554882
esrgan,29,21.85112284409263,0.46275502,2.2176466,7.1092286,0.025629662
