method,scene,scale,reflectance,spectral,spatial,synthesis,ha_metric,om_metric,im_metric
bicubic,0,2,0.003571305889636278,0.5752325057983398,0.0,0.01903064362704754,0.10477487742900848,0.10224149376153946,0.7929836511611938
lanczos,0,2,0.003417265135794878,0.5518825054168701,0.0,0.019069470465183258,0.0960506722331047,0.09621766209602356,0.8077316284179688
esrgan,0,2,0.014794541522860527,2.842099666595459,0.02828427031636238,0.021606503054499626,0.38308852910995483,0.1801980882883072,0.4367133378982544
sen2sr,0,2,0.005169899668544531,0.9316400289535522,0.0,0.019237274304032326,0.10539902001619339,0.10828042775392532,0.7863205671310425
bicubic,1,2,0.0027550754602998495,0.67071133852005,0.0,0.02271087095141411,0.20153875648975372,0.22835606336593628,0.5701051950454712
lanczos,1,2,0.002728282241150737,0.6580651998519897,0.0,0.022823024541139603,0.20101071894168854,0.22663475573062897,0.5723545551300049
esrgan,1,2,0.01576848141849041,4.893983364105225,0.03999999910593033,0.023787815123796463,0.36602717638015747,0.33002138137817383,0.3039514422416687
sen2sr,1,2,0.0051351869478821754,1.3016012907028198,0.0,0.02304421178996563,0.2332528531551361,0.22598710656166077,0.5407600402832031
bicubic,2,2,0.0023940186947584152,0.6699068546295166,0.0,0.021815882995724678,0.11225131899118423,0.1520410180091858,0.7357075810432434
lanczos,2,2,0.0023591306526213884,0.6571276783943176,0.0,0.021834641695022583,0.1083972230553627,0.15087972581386566,0.7407230138778687
esrgan,2,2,0.011761427856981754,3.770582914352417,0.04472135752439499,0.022445473819971085,0.24378027021884918,0.2163265496492386,0.5398931503295898
sen2sr,2,2,0.00516722584143281,1.4817790985107422,0.0,0.021941453218460083,0.13312441110610962,0.14805494248867035,0.7188206911087036
bicubic,3,2,0.0022886889055371284,0.6679603457450867,0.0,0.018953097984194756,0.13969716429710388,0.21755845844745636,0.6427443623542786
lanczos,3,2,0.0022542926017194986,0.6534291505813599,0.0,0.018970945850014687,0.1378920078277588,0.216324582695961,0.6457834243774414
esrgan,3,2,0.010216799564659595,3.320582866668701,0.02828427031636238,0.019594751298427582,0.25871092081069946,0.2488122284412384,0.49247685074806213
sen2sr,3,2,0.004911746829748154,1.508741855621338,0.0,0.019029177725315094,0.16441616415977478,0.2151789367198944,0.6204048991203308
bicubic,4,2,0.0023860412184149027,0.6462080478668213,0.0,0.01341702789068222,0.20240044593811035,0.18947109580039978,0.6081284880638123
lanczos,4,2,0.0023884400725364685,0.6407756805419922,0.0,0.0134841687977314,0.20254427194595337,0.1864703893661499,0.610985279083252
esrgan,4,2,0.009016447700560093,2.511042356491089,0.03999999910593033,0.014144002459943295,0.2869052588939667,0.2287323772907257,0.4843623638153076
sen2sr,4,2,0.006434245500713587,2.8906800746917725,0.0,0.014543486759066582,0.28541430830955505,0.19048887491226196,0.5240968465805054
bicubic,5,2,0.0023839615751057863,0.6797966957092285,0.0,0.01352135743945837,0.1395711749792099,0.17312847077846527,0.6873003840446472
lanczos,5,2,0.002344412263482809,0.6657255291938782,0.0,0.013592854142189026,0.13511815667152405,0.16927307844161987,0.6956087946891785
esrgan,5,2,0.009720901027321815,2.9654924869537354,0.019999999552965164,0.014656220562756062,0.2726455330848694,0.17771345376968384,0.5496410131454468
sen2sr,5,2,0.005402572453022003,2.022470235824585,0.0,0.014809861779212952,0.24028784036636353,0.17179764807224274,0.5879145264625549
bicubic,6,2,0.0028393538668751717,0.5884194374084473,0.0,0.011841228231787682,0.22676092386245728,0.08809071034193039,0.6851483583450317
